,,,Substation_1,Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Full_name,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
Jessen/Nord - Lauchstaedt 499,11TD8L499------B,50HERTZ,Jessen/Nord,Lauchstaedt,400,,,,,,,2040,,,3.34,25.42,464.58,102.16,
Jessen/Nord - Marke 500,11TD8L500------6,50HERTZ,Jessen/Nord,Marke,400,,,,,,,2040,,,3.45,26.89,490.59,107.37,
Ragow - Schoenewalde 501,11T0-0000-0040-C,50HERTZ,Ragow,Schoenewalde,400,,,,,,,2040,,,1.70,13.44,246.77,54.00,
Ragow - Jessen/Nord 502,11TD8L502-----1N,50HERTZ,Ragow,Jessen/Nord,400,,,,,,,2040,,,1.95,15.45,290.28,61.78,
Schoenewalde - Jessen/Nord 503,11TD8L503-----1F,50HERTZ,Schoenewalde,Jessen/Nord,400,,,,,,,2040,,,0.25,2.06,36.29,7.95,
Marke - Lauchstaedt 504,11TD8L504------B,50HERTZ,Marke,Lauchstaedt,400,,,,,,,2040,,,2.10,12.73,230.15,50.87,
Lubmin - Siedenbruenzow 509,11TD8L509------8,50HERTZ,Lubmin,Siedenbruenzow,400,,,,,,,2520,,,1.59,14.44,243.13,56.21,
Lubmin - Siedenbruenzow 510,11TD8L510------Y,50HERTZ,Lubmin,Siedenbruenzow,400,,,,,,,2520,,,1.59,14.44,243.13,56.21,
Siedenbruenzow - Guestrow 512,11TD8L512------I,50HERTZ,Siedenbruenzow,Guestrow,400,,,,,,,2500,,,3.37,25.05,386.92,93.61,
Siedenbruenzow - Putlitz/Sued 513,11TD8L513------A,50HERTZ,Siedenbruenzow,Putlitz/Sued,400,,,,,,,2500,,,2.59,28.07,464.58,109.10,
Guestrow - Putlitz/Sued 514,11TD8L514-----1Z,50HERTZ,Guestrow,Putlitz/Sued,400,,,,,,,2520,,,2.88,26.43,422.23,100.30,
Perleberg - Stendal/West 516,11TD8L516------N,50HERTZ,Perleberg,Stendal/West,400,,,,,,,2520,,,2.45,19.38,324.78,75.54,
Gransee - Neuenhagen 517,11TD8L517-----1B,50HERTZ,Gransee,Neuenhagen,400,,,,,,,2040,,,1.66,18.23,296.41,70.32,
