,,,Substation_1,Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Full_name,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
LIT 225kV N0 1 BISSY-GRANDE-ILE,17T000000017920J,RTE,BISSY,GRANDE-ILE,220,566.00,672.00,672.00,764.00,,,,,,1.63,7.68,106.70,18.96,
LIT 225kV N0 1 BLOCAUX - LIMEUX (400 kV),17T0000000180245,RTE,BLOCAUX,LIMEUX,220,967.00,967.00,1218.00,1218.00,,,,,,0.72,5.42,1889.02,29.14,
LIT 400kV N0 1 BOCTOIS - MERY-SUR-SEINE,17T000000018037X,RTE,BOCTOIS,MERY-SUR-SEINE,380,3465.00,3622.00,3622.00,3780.00,,,,,,0.71,9.37,154.65,35.55,
LIT 400kV N0 1 BOCTOIS - MORBRAS,17T000000018038V,RTE,BOCTOIS,MORBRAS,380,3465.00,3622.00,3622.00,3780.00,,,,,,1.57,20.57,341.29,78.18,
LIT 400kV N0 2 BOCTOIS - MERY-SUR-SEINE,17T0000000180407,RTE,BOCTOIS,MERY-SUR-SEINE,380,3465.00,3622.00,3622.00,3780.00,,,,,,0.71,9.37,155.08,35.57,
LIT 400kV N0 2 BOCTOIS - MORBRAS,17T0000000180415,RTE,BOCTOIS,MORBRAS,380,3465.00,3622.00,3622.00,3780.00,,,,,,1.61,21.11,350.25,77.98,
LIT 400kV N0 1 BOISSE (LA) - CHAFFARD (LE),17T000000018119V,RTE,BOISSE (LA),CHAFFARD (LE),380,1752.00,1998.00,1998.00,2172.00,,,,,,0.72,7.90,79.79,23.48,
LIT 400kV N0 1 BOISSE (LA) - MIONS,17T0000000181209,RTE,BOISSE (LA),MIONS,380,2300.00,2450.00,2450.00,2600.00,,,,,,0.62,6.61,69.38,20.08,
LIT 225kV N0 1 BOISSE (LA) - CUSSET-POSTE,17T0000000181055,RTE,BOISSE (LA),CUSSET-POSTE,220,857.00,857.00,1024.00,1024.00,,,,,,0.66,4.98,74.00,12.61,
LIT 225kV N0 1 BOISSE (LA) - GENISSIAT-POSTE,17T0000000181063,RTE,BOISSE (LA),GENISSIAT-POSTE,220,695.00,725.00,782.00,855.00,,,,,,6.21,27.41,208.86,68.30,
LIT 225kV N0 1 BOISSE (LA) - ST-VULBAS-EST,17T000000018110C,RTE,BOISSE (LA),ST-VULBAS-EST,220,900.00,1015.00,1015.00,1112.00,,,,,,1.26,8.46,60.67,21.06,
LIT 225kV N0 2 BOISSE (LA) - CUSSET-POSTE,17T0000000181128,RTE,BOISSE (LA),CUSSET-POSTE,220,857.00,857.00,1024.00,1024.00,,,,,,0.63,4.83,80.00,12.77,
LIT 225kV N0 2 BOISSE (LA) - MIONS,17T0000000181136,RTE,BOISSE (LA),MIONS,220,900.00,1015.00,1015.00,1112.00,,,,,,1.16,8.01,78.00,20.13,
LIT 400kV N0 1 BOIS-TOLLOT - GENISSIAT-POSTE,17T-FR-000000503,RTE,BOIS-TOLLOT,GENISSIAT-POSTE,380,1948.00,2162.00,2162.00,2348.00,,,,,,1.11,10.88,119.95,33.63,
LIT 225kV N0 1 BOLLENE-CHATEAUNEUF-DU-RHONE,17T000000018155R,RTE,BOLLENE (POSTE RESEAU),CHATEAUNEUF-DU-RHONE,220,816.00,889.00,889.00,947.00,,,,,,2.00,10.20,100.99,24.94,
LIT 225kV N0 1 BOLLENE-TERRADOU,17T000000018158L,RTE,BOLLENE (POSTE RESEAU),TERRADOU,220,816.00,889.00,889.00,947.00,,,,,,3.77,17.66,123.04,43.94,
LIT 225kV N0 1 BOLLENE-TRICASTIN-POSTE (LE),17T000000018159J,RTE,BOLLENE (POSTE RESEAU),TRICASTIN-POSTE (LE),220,1062.00,1160.00,1160.00,1238.00,,,,,,0.33,2.17,15.58,5.56,
LIT 225kV N0 2 BOLLENE - TRICASTIN-POSTE (LE),17T000000018182O,RTE,BOLLENE (POSTE RESEAU),TRICASTIN-POSTE (LE),220,1062.00,1160.00,1160.00,1238.00,,,,,,0.34,2.30,16.46,5.73,
LIT 225kV N0 1 BONNEAU-ORANGERIE (L),17T000000018195F,RTE,BONNEAU,ORANGERIE (L),220,1012.00,1150.00,1150.00,1247.00,,,,,,2.12,14.11,102.44,35.41,
LIT 225kV N0 1 BONNEAU-VALDIVIENNE,17T000000018196D,RTE,BONNEAU,VALDIVIENNE,220,1180.00,1310.00,1310.00,1390.00,,,,,,1.66,10.45,84.73,27.61,
LIT 225kV N0 2 BONNEAU-VALDIVIENNE,17T000000018197B,RTE,BONNEAU,VALDIVIENNE,220,1180.00,1310.00,1310.00,1390.00,,,,,,1.65,10.44,84.59,27.59,
LIT 225kV N0 1 BONNIERES - MEZEROLLES,17T000000018237P,RTE,BONNIERES,MEZEROLLES,220,1172.00,1285.00,1285.00,1388.00,,,,,,1.70,11.35,81.96,28.49,
LIT 225kV N0 1 BOUDEYRE-CHATEAUNEUF-DU-RHONE,17T000000018353N,RTE,BOUDEYRE,CHATEAUNEUF-DU-RHONE,220,862.00,928.00,928.00,987.00,,,,,,2.43,11.46,80.01,28.38,
LIT 225kV N0 1 BOUDEYRE-MONTPEZAT,17T000000018354L,RTE,BOUDEYRE,MONTPEZAT,220,862.00,928.00,928.00,987.00,,,,,,1.72,7.67,53.43,19.10,
LIT 225kV N0 1 BOULE (LA) - PUTEAUX,17T000000018391F,RTE,BOULE (LA),PUTEAUX,220,490.00,490.00,730.00,730.00,,,,,,0.09,0.61,285.84,3.51,
LIT 225kV N0 1 BOURGUIGNON - ETUPES,17T0000000191107,RTE,BOURGUIGNON,ETUPES,220,791.00,853.00,853.00,934.00,,,,,,1.43,5.60,38.92,13.83,
LIT 225kV N0 1 BOURGUIGNON - MAMBELIN,17T0000000191115,RTE,BOURGUIGNON,MAMBELIN,220,791.00,853.00,853.00,934.00,,,,,,1.14,4.79,33.69,11.88,
LIT 400kV N0 1 BOUTRE - PLAN-D ORGON,17T000000018432R,RTE,BOUTRE,PLAN-D ORGON,380,3192.00,3489.00,3489.00,3723.00,,,,,,1.66,21.82,362.20,83.17,
LIT 400kV N0 1 BOUTRE - PRIONNET,17T000000018433P,RTE,BOUTRE,PRIONNET,380,3192.00,3489.00,3489.00,3723.00,,,,,,0.15,2.36,34.14,8.95,
LIT 225kV N0 1 BOUTRE - TRANS,17T000000018431T,RTE,BOUTRE,TRANS,220,1250.00,1250.00,1600.00,1600.00,,,,,,1.02,10.40,4902.00,64.66,
LIT 225kV N0 1 BOUTRE-COUDON (LE),17T000000018427K,RTE,BOUTRE,COUDON (LE),220,2200.00,2300.00,2300.00,2400.00,,,,,,1.64,17.35,263.26,63.40,
LIT 225kV N0 1 BOUTRE-SAINTE-TULLE 1,17T000000018430V,RTE,BOUTRE,STE-TULLE,220,1144.00,1249.00,1249.00,1333.00,,,,,,0.71,5.57,37.20,13.30,
LIT 225kV N0 1 BRAILLY-CORNEHOTTE - SORRUS,17T000000016790B,RTE,BRAILLY-CORNEHOTTE,SORRUS,220,865.00,865.00,865.00,865.00,,,,,,2.77,12.60,87.36,30.95,
LIT 400kV N0 1 BRAUD - MARQUIS (LE),17T000000018481E,RTE,BRAUD,MARQUIS (LE),380,2200.00,2300.00,2300.00,2400.00,,,,,,0.92,11.92,147.05,39.42,
LIT 400kV N0 1 BRAUD - PREGUILLAC,17T000000018502W,RTE,BRAUD,PREGUILLAC,380,3072.00,3414.00,3414.00,3598.00,,,,,,0.99,14.43,179.72,47.29,
LIT 400kV N0 2 BRAUD - CUBNEZAIS,17T000000018503U,RTE,BRAUD,CUBNEZAIS,380,3072.00,3414.00,3414.00,3598.00,,,,,,0.64,9.32,115.88,30.53,
LIT 400kV N0 2 BRAUD - PREGUILLAC,17T000000018504S,RTE,BRAUD,PREGUILLAC,380,3072.00,3414.00,3414.00,3598.00,,,,,,0.99,14.43,179.71,47.37,
LIT 400kV N0 3 BRAUD - CUBNEZAIS,17T000000018505Q,RTE,BRAUD,CUBNEZAIS,380,3072.00,3414.00,3414.00,3598.00,,,,,,0.67,9.77,121.52,32.01,
LIT 400kV N0 4 BRAUD - CUBNEZAIS,17T000000018506O,RTE,BRAUD,CUBNEZAIS,380,3072.00,3414.00,3414.00,3598.00,,,,,,0.67,9.78,121.63,32.05,
LIT 225kV N0 1 BRENNILIS-MARTYRE (LA),17T000000018547A,RTE,BRENNILIS,MARTYRE (LA),220,1250.00,1312.00,1312.00,1375.00,,,,,,1.76,12.13,89.36,31.07,
LIT 225kV N0 1 BRENNILIS-PLEYBER-CHRIST,17T0000000185488,RTE,BRENNILIS,PLEYBER-CHRIST,220,1300.00,1350.00,1350.00,1400.00,,,,,,1.30,8.60,62.59,21.45,
LIT 225kV N0 1 BRENS - PELISSIER,17T000000018542K,RTE,BRENS (CNR),PELISSIER,220,831.00,984.00,984.00,1099.00,,,,,,0.98,6.55,47.50,16.58,
LIT 225kV N0 1 BRENS - VERFEIL,17T000000018543I,RTE,BRENS (CNR),VERFEIL,220,831.00,984.00,984.00,1099.00,,,,,,2.35,15.64,113.20,39.19,
LIT 400kV N0 1 BREUIL (LE) - MARMAGNE,17T0000000185909,RTE,BREUIL (LE),MARMAGNE,380,1410.00,1632.00,1632.00,1806.00,,,,,,9.50,71.43,701.64,209.48,
LIT 400kV N0 1 BREUIL (LE) - RUEYRES,17T0000000185917,RTE,BREUIL (LE),RUEYRES,380,1186.00,1644.00,1644.00,1968.00,,,,,,1.96,21.40,230.29,65.65,
LIT 225kV N0 1 BREUIL (LE) - PIQUAGE A SAINT GERONS,,RTE,BREUIL (LE),PIQUAGE A SAINT GERONS,220,629.00,756.00,756.00,844.00,,,,,,3.06,13.85,95.61,34.39,No existing EIC code
LIT 225kV N0 1 BREUIL (LE)-MOLE (LA),17T0000000185844,RTE,BREUIL (LE),MOLE (LA),220,622.00,748.00,748.00,834.00,,,,,,1.79,8.35,54.52,19.92,
LIT 225kV N0 1 BREUIL (LE)-PEYRAT-LE-CHATEAU,17T0000000185852,RTE,BREUIL (LE),PEYRAT-LE-CHATEAU,220,629.00,756.00,756.00,844.00,,,,,,6.40,28.64,199.33,71.58,
LIT 400kV N0 1 BROC-CARROS (LE) - BIANCON,17T0000000167587,RTE,BROC-CARROS (LE),BIANCON,380,2006.00,2192.00,2192.00,2336.00,,,,,,1.67,15.59,196.00,51.49,
LIT 400kV N0 2 BROC-CARROS (LE)-BIANCON,17T0000000167595,RTE,BROC-CARROS (LE),BIANCON,380,2006.00,2192.00,2192.00,2336.00,,,,,,1.67,15.59,196.00,51.49,
LIT 225kV N0 1 BROC-CARROS (LE) - LINGOSTIERE,17T000000016754F,RTE,BROC-CARROS (LE),LINGOSTIERE,220,1062.00,1160.00,1160.00,1238.00,,,,,,0.69,4.62,33.12,11.97,
LIT 225kV N0 1 BROC-CARROS (LE) - TRINITE-VICTOR,17T000000016755D,RTE,BROC-CARROS (LE),TRINITE-VICTOR,220,1062.00,1160.00,1160.00,1238.00,,,,,,0.81,5.48,40.53,13.85,
LIT 225kV N0 2 BROC-CARROS (LE) - LINGOSTIERE,17T000000016756B,RTE,BROC-CARROS (LE),LINGOSTIERE,220,1062.00,1160.00,1160.00,1238.00,,,,,,0.72,4.79,34.36,11.93,
LIT 225kV N0 2 BROC-CARROS (LE) - TRINITE-VICTOR,17T0000000167579,RTE,BROC-CARROS (LE),TRINITE-VICTOR,220,1062.00,1081.00,1160.00,1207.00,,,,,,0.81,5.54,40.34,13.94,
LIT 225kV N0 1 BRODE - PIQUAGE A DUVIGNEAU,17T000000018641I,RTE,BRODE,PIQUAGE A DUVIGNEAU,220,1308.00,1408.00,1408.00,1478.00,,,,,,0.02,0.16,1.11,0.37,
LIT 225kV N0 1 BRUGES-PESSAC,17T000000018716D,RTE,BRUGES,PESSAC,220,655.00,655.00,760.00,760.00,,,,,,0.83,5.54,42.59,13.88,
LIT 225kV N0 1 BUIRE-PONT-SUR-SAMBRE,17T000000018795S,RTE,BUIRE,PONT-SUR-SAMBRE,220,1250.00,1250.00,1250.00,1250.00,,,,,,2.64,17.72,126.42,44.04,
LIT 225kV N0 1 BUTTES-CHAUMONT-ROMAINVILLE,17T0000000167862,RTE,BUTTES-CHAUMONT,ROMAINVILLE,220,440.00,440.00,550.00,550.00,,,,,,0.17,0.66,574.00,6.20,
LIT 225kV N0 1 CAEN - RANVILLE,17T000000019441L,RTE,CAEN,RANVILLE,220,1308.00,1408.00,1408.00,1478.00,,,,,,0.45,3.02,21.35,7.49,
LIT 400kV N0 1 CALAN - CORDEMAIS-POSTE,17T000000019480B,RTE,CALAN,CORDEMAIS-POSTE,380,2200.00,2300.00,2300.00,2400.00,,,,,,4.19,42.43,525.84,139.52,
LIT 400kV N0 1 CALAN - MARTYRE (LA),17T0000000194819,RTE,CALAN,MARTYRE (LA),380,2862.00,2920.00,2920.00,3020.00,,,,,,2.95,29.94,370.83,98.34,
LIT 225kV N0 1 CALAN - POTEAU-ROUGE,17T000000019479X,RTE,CALAN,POTEAU-ROUGE,220,1110.00,1110.00,1403.00,1403.00,,,,,,0.10,1.07,508.95,6.80,
LIT 400kV N0 2 CANTEGRIT - SAUCATS,17T-FR-000000406,RTE,CANTEGRIT,SAUCATS,380,2690.00,2822.00,2822.00,2936.00,,,,,,1.94,25.19,239.63,72.59,
LIT 400kV N0 3 CANTEGRIT - SAUCATS,17T-FR-000000414,RTE,CANTEGRIT,SAUCATS,380,2690.00,2822.00,2822.00,2936.00,,,,,,1.94,25.17,239.50,71.81,
LIT 225kV N0 1 CANTEGRIT-MARSILLON,17T0000000195548,RTE,CANTEGRIT,MARSILLON,220,997.00,1096.00,1096.00,1155.00,,,,,,4.68,30.49,222.01,77.40,
LIT 225kV N0 1 CANTEGRIT-MOUGUERRE,17T-FR-00000063V,RTE,CANTEGRIT,MOUGUERRE,220,1884.00,1890.00,1890.00,1890.00,,,,,,4.56,33.78,235.49,83.10,
LIT 225kV N0 1 CANTEGRIT-NAOUTOT,17T0000000195556,RTE,CANTEGRIT,NAOUTOT,220,935.00,1000.00,1000.00,1080.00,,,,,,2.30,15.43,108.94,38.21,
LIT 225kV N0 2 CANTEGRIT-NAOUTOT,17T0000000195564,RTE,CANTEGRIT,NAOUTOT,220,845.00,925.00,925.00,1005.00,,,,,,2.19,14.70,103.74,36.79,
LIT 400kV N0 1 CAPELLE (LA) - LONNY,17T-FR-00000010F,RTE,CAPELLE (LA),LONNY,380,2196.00,2422.00,2422.00,2596.00,,,,,,1.64,17.55,184.35,53.02,
LIT 400kV N0 1 CAPELLE (LA) - MASTAING,17T-FR-00000011D,RTE,CAPELLE (LA),MASTAING,380,2570.00,2718.00,2718.00,2914.00,,,,,,1.89,20.21,212.31,60.87,
LIT 225kV N0 1 CAPELLE (LA) - HERIE-LA-VIEVILLE,17T000000019585Y,RTE,CAPELLE (LA),HERIE-LA-VIEVILLE (LE),220,579.00,709.00,709.00,822.00,,,,,,2.99,14.75,103.35,33.83,
LIT 225kV N0 1 CAPELLE (LA)-PONT-SUR-SAMBRE,17T000000019586W,RTE,CAPELLE (LA),PONT-SUR-SAMBRE,220,1273.00,1346.00,1346.00,1453.00,,,,,,1.83,12.24,87.57,30.47,
LIT 225kV N0 1 CARRIERES - PLESSIS-GASSOT,17T000000019675X,RTE,CARRIERES,PLESSIS-GASSOT,220,510.00,767.00,767.00,976.00,,,,,,1.62,10.78,76.65,26.83,
LIT 225KV N0 1 CARRIERES - VALESCOURT,17T000000019704F,RTE,CARRIERES,VALESCOURT,220,1023.00,1161.00,1161.00,1266.00,,,,,,2.07,13.76,99.26,34.43,
LIT 225kV N0 1 CARRIERES-MORU,17T000000019674Z,RTE,CARRIERES,MORU,220,1172.00,1285.00,1285.00,1388.00,,,,,,1.70,11.31,81.42,28.28,
LIT 225kV N0 1 CARRIERES-TERRIER,17T000000019676V,RTE,CARRIERES,TERRIER,220,2046.00,2300.00,2300.00,2400.00,,,,,,0.47,4.42,63.65,15.65,
LIT 225kV N0 2 CARRIERES-TERRIER,17T000000019679P,RTE,CARRIERES,TERRIER,220,2200.00,2300.00,2300.00,2400.00,,,,,,0.45,4.27,61.61,15.65,
LIT 225kV N0 1 CASTELLE (LA) - SAUMADE,17T000000021657W,RTE,CASTELLE (LA),SAUMADE,220,745.00,775.00,932.00,940.00,,,,,,0.49,3.27,153.03,9.38,
LIT 225kV N0 1 CASTELLE (LA) - TAMAREAU,17T000000021658U,RTE,CASTELLE (LA),TAMAREAU,220,745.00,870.00,932.00,1010.00,,,,,,1.46,9.01,73.05,27.30,
LIT 225kV N0 1 CASTELLET (LE) - ENCO-DE-BOTTE,17T000000021682X,RTE,CASTELLET (LE),ENCO-DE-BOTTE,220,1062.00,1160.00,1160.00,1238.00,,,,,,1.34,8.92,64.91,22.41,
LIT 225kV N0 1 CASTELLET (LE) - ESCAILLON (L ),17T000000021683V,RTE,CASTELLET (LE),ESCAILLON (L ),220,1062.00,1160.00,1160.00,1238.00,,,,,,1.20,7.95,57.86,19.98,
LIT 400kV N0 1 CAZARIL - MARSILLON,17T000000020569Y,RTE,CAZARIL,MARSILLON,380,3316.00,3622.00,3622.00,3780.00,,,,,,2.10,29.20,466.80,101.26,
LIT 400kV N0 1 CAZARIL - VERFEIL,17T000000019790X,RTE,CAZARIL,VERFEIL,380,3255.00,3600.00,3600.00,3780.00,,,,,,2.42,32.08,528.09,121.35,
LIT 400kV N0 2 CAZARIL - MARSILLON,17T000000019791V,RTE,CAZARIL,MARSILLON,380,3316.00,3622.00,3622.00,3780.00,,,,,,2.09,29.12,465.45,101.66,
LIT 400kV N0 2 CAZARIL - VERFEIL,17T000000019792T,RTE,CAZARIL,VERFEIL,380,3255.00,3600.00,3600.00,3780.00,,,,,,2.41,32.02,528.25,121.34,
LIT 225kV N0 1 CAZARIL-JALIS,17T000000019785Q,RTE,CAZARIL,JALIS,220,828.00,908.00,908.00,986.00,,,,,,6.64,33.49,236.75,83.15,
LIT 225kV N0 1 CAZARIL-LANNEMEZAN,17T000000019786O,RTE,CAZARIL,LANNEMEZAN,220,828.00,908.00,908.00,986.00,,,,,,1.05,5.04,33.14,12.12,
LIT 225kV N0 2 CAZARIL-LANNEMEZAN,17T000000019787M,RTE,CAZARIL,LANNEMEZAN,220,1018.00,1117.00,1117.00,1213.00,,,,,,0.78,4.67,33.99,11.75,
LIT 225kV N0 3 CAZARIL-LANNEMEZAN,17T000000019788K,RTE,CAZARIL,LANNEMEZAN,220,1018.00,1117.00,1117.00,1213.00,,,,,,0.79,4.73,34.43,11.75,
LIT 400kV N0 1 CERGY-MEZEROLLES,17T000000019866Q,RTE,CERGY,MEZEROLLES,380,2200.00,2300.00,2300.00,2400.00,,,,,,0.99,10.24,120.68,32.74,
LIT 400kV N0 1 CERGY-TERRIER,17T000000019867O,RTE,CERGY,TERRIER,380,2366.00,2596.00,2596.00,2778.00,,,,,,0.88,9.21,102.59,28.60,
LIT 400kV N0 2 CERGY-MEZEROLLES,17T000000019868M,RTE,CERGY,MEZEROLLES,380,2200.00,2300.00,2300.00,2400.00,,,,,,0.99,10.23,120.58,32.71,
LIT 400kV N0 2 CERGY-TERRIER,17T000000019869K,RTE,CERGY,TERRIER,380,2366.00,2596.00,2596.00,2778.00,,,,,,0.88,9.25,102.97,28.71,
LIT 225kV N0 1 CERGY - PLESSIS-GASSOT,17T000000019863W,RTE,CERGY,PLESSIS-GASSOT,220,520.00,782.00,782.00,998.00,,,,,,1.98,17.17,124.98,43.02,
LIT 225kV N0 1 CERGY-PORCHEVILLE,17T000000019864U,RTE,CERGY,PORCHEVILLE,220,926.00,1060.00,1060.00,1181.00,,,,,,1.63,10.70,77.47,27.07,
LIT 225kV N0 1 CERGY-PUISEUX,17T000000019865S,RTE,CERGY,PUISEUX,220,1172.00,1285.00,1285.00,1388.00,,,,,,0.28,1.87,13.51,4.67,
LIT 225kV N0 1 CERNAY-VESLE,17T0000000199047,RTE,CERNAY,VESLE,220,1172.00,1285.00,1285.00,1388.00,,,,,,1.05,7.01,50.62,17.55,
LIT 225kV N0 2 CERNAY-VESLE,17T0000000199055,RTE,CERNAY,VESLE,220,1172.00,1285.00,1285.00,1388.00,,,,,,1.05,7.01,50.63,17.55,
LIT 225kV N0 1 CESTAS - MASQUET,17T0000000199144,RTE,CESTAS,MASQUET,220,932.00,1049.00,1049.00,1126.00,,,,,,1.05,6.97,63.38,17.60,
LIT 225kV N0 1 CESTAS - PESSAC,17T0000000199152,RTE,CESTAS,PESSAC,220,932.00,1049.00,1049.00,1126.00,,,,,,0.84,5.60,55.45,14.47,
LIT 225kV N0 1 CHABOSSIERE (LA)-CHEVIRE,17T000000019982O,RTE,CHABOSSIERE (LA),CHEVIRE,220,1249.00,1337.00,1337.00,1432.00,,,,,,0.42,2.86,21.10,7.33,
LIT 225kV N0 1 CHABOSSIERE (LA)-CORDEMAIS-POSTE,17T000000019983M,RTE,CHABOSSIERE (LA),CORDEMAIS-POSTE,220,1249.00,1337.00,1337.00,1432.00,,,,,,1.11,7.54,55.84,19.52,
LIT 400kV N0 1 CHAFFARD (LE) - CHAMPAGNIER,17T0000000199989,RTE,CHAFFARD (LE),CHAMPAGNIER,380,2110.00,2246.00,2246.00,2382.00,,,,,,3.16,35.01,362.50,104.14,
LIT 400kV N0 1 CHAFFARD (LE) - COULANGE,17T000000019997B,RTE,CHAFFARD (LE),COULANGE,380,3465.00,3544.00,3544.00,3575.00,,,,,,4.15,41.63,519.05,0.00,
LIT 400kV N0 1 CHAFFARD (LE) - GRANDE-ILE,17T0000000199997,RTE,CHAFFARD (LE),GRANDE-ILE,380,3465.00,3622.00,3622.00,3780.00,,,,,,1.44,20.47,321.63,76.24,
LIT 400kV N0 1 CHAFFARD (LE) - MIONS,17T000000020000G,RTE,CHAFFARD (LE),MIONS,380,1764.00,1876.00,1876.00,1988.00,,,,,,0.54,4.17,41.20,12.22,
LIT 400kV N0 1 CHAFFARD (LE) - PIVOZ-CORDIER,17T000000020001E,RTE,CHAFFARD (LE),PIVOZ-CORDIER,380,3465.00,3622.00,3622.00,3780.00,,,,,,1.29,14.86,170.62,47.33,
LIT 400kV N0 1 CHAFFARD (LE) - ST-VULBAS-OUEST,17T0000000200226,RTE,CHAFFARD (LE),ST-VULBAS-OUEST,380,2300.00,2400.00,2400.00,2400.00,,,,,,0.56,5.71,70.37,18.71,
LIT 400kV N0 2 CHAFFARD (LE) - CHAMPAGNIER,17T0000000200234,RTE,CHAFFARD (LE),CHAMPAGNIER,380,2110.00,2246.00,2246.00,2382.00,,,,,,2.25,27.61,296.11,84.00,
LIT 400kV N0 2 CHAFFARD (LE)-GRANDE-ILE,17T0000000200242,RTE,CHAFFARD (LE),GRANDE-ILE,380,3465.00,3622.00,3622.00,3780.00,,,,,,1.44,20.47,321.63,76.24,
LIT 400kV N0 2 CHAFFARD (LE)-MIONS,17T000000020026Z,RTE,CHAFFARD (LE),MIONS,380,2300.00,2450.00,2450.00,2600.00,,,,,,0.29,3.69,58.68,13.30,
LIT 400kV N0 2 CHAFFARD (LE)-PIVOZ-CORDIER,17T000000020027X,RTE,CHAFFARD (LE),PIVOZ-CORDIER,380,3465.00,3622.00,3622.00,3780.00,,,,,,1.29,14.86,170.62,47.33,
LIT 400kV N0 2 CHAFFARD (LE)-ST-VULBAS-OUEST,17T000000020028V,RTE,CHAFFARD (LE),ST-VULBAS-OUEST,380,2300.00,2400.00,2400.00,2400.00,,,,,,0.56,5.71,70.39,18.72,
LIT 400kV N0 3 CHAFFARD (LE) - ST-VULBAS-OUEST,17T000000020029T,RTE,CHAFFARD (LE),ST-VULBAS-OUEST,380,2300.00,2400.00,2400.00,2400.00,,,,,,0.57,5.78,71.29,18.95,
LIT 400kV N0 4 CHAFFARD (LE) - ST-VULBAS-OUEST,17T0000000200307,RTE,CHAFFARD (LE),ST-VULBAS-OUEST,380,2300.00,2450.00,2450.00,2600.00,,,,,,0.57,5.78,71.23,20.98,
LIT 400kV N0 1 CHAINGY - VERGER,17T000000020072S,RTE,CHAINGY,VERGER,380,1332.00,1796.00,1796.00,2098.00,,,,,,0.72,7.29,90.07,23.93,
LIT 400kV N0 2 CHAINGY-VERGER,17T000000020073Q,RTE,CHAINGY,VERGER,380,1332.00,1796.00,1796.00,2098.00,,,,,,0.72,7.28,89.95,24.01,
LIT 225kV N0 1 CHAINGY-DAMBRON,17T000000020068J,RTE,CHAINGY,DAMBRON,220,888.00,983.00,983.00,1042.00,,,,,,1.57,10.56,74.59,26.34,
LIT 225kV N0 2 CHAINGY - DAMBRON,17T000000020069H,RTE,CHAINGY,DAMBRON,220,888.00,983.00,983.00,1042.00,,,,,,2.52,11.14,70.93,26.25,
LIT 225kV N0 3 CHAINGY-DAMBRON,17T000000020071U,RTE,CHAINGY,DAMBRON,220,1099.00,1099.00,1264.00,1264.00,,,,,,1.58,10.53,99.25,26.62,
LIT 225kV N0 1 CHALON-CHAMPVANS,17T000000020108X,RTE,CHALON,CHAMPVANS,220,641.00,742.00,742.00,836.00,,,,,,5.59,25.54,172.40,61.86,
LIT 225kV N0 1 CHALON-GROSNE,17T000000020109V,RTE,CHALON,GROSNE,220,1400.00,1500.00,1500.00,1550.00,,,,,,0.75,7.05,102.74,25.08,
LIT 225kV N0 2 CHALON-GROSNE,17T0000000201109,RTE,CHALON,GROSNE,220,1400.00,1500.00,1500.00,1550.00,,,,,,0.75,7.05,102.74,25.07,
LIT 400kV N0 1 CHAMBRY - MERY-SUR-SEINE,17T000000019828Y,RTE,CHAMBRY,MERY-SUR-SEINE,380,1812.00,1988.00,1988.00,2124.00,,,,,,4.15,32.02,310.66,93.18,
LIT 400kV N0 1 CHAMBRY - PENCHARD,17T000000019829W,RTE,CHAMBRY,PENCHARD,380,1988.00,2122.00,2122.00,2258.00,,,,,,0.20,1.62,15.87,4.72,
LIT 400kV N0 1 CHAMPAGNIER - VAUJANY,17T000000021411R,RTE,CHAMPAGNIER,VAUJANY,380,2600.00,2700.00,2700.00,2800.00,,,,,,0.67,9.30,117.09,30.75,
LIT 400kV N0 2 CHAMPAGNIER-VAUJANY,17T000000021412P,RTE,CHAMPAGNIER,VAUJANY,380,1812.00,1988.00,1988.00,2124.00,,,,,,0.67,9.29,117.02,26.41,
LIT 225kV N0 1 CHAMPAGNIER-EYBENS,17T000000021381A,RTE,CHAMPAGNIER,EYBENS,220,1093.00,1178.00,1178.00,1253.00,,,,,,0.52,3.38,24.57,8.40,
LIT 225kV N0 1 CHAMPAGNIER-GRISOLLES,17T000000021402S,RTE,CHAMPAGNIER,GRISOLLES,220,734.00,856.00,856.00,964.00,,,,,,5.01,32.53,261.52,82.18,
LIT 225kV N0 1 CHAMPAGNIER-MOIRANS,17T000000021403Q,RTE,CHAMPAGNIER,MOIRANS,220,1123.00,1211.00,1211.00,1290.00,,,,,,1.08,11.55,127.33,35.41,
LIT 225kV N0 1 CHAMPAGNIER-PARISET,17T000000021404O,RTE,CHAMPAGNIER,PARISET,220,570.00,659.00,659.00,739.00,,,,,,1.13,3.95,28.00,9.41,
LIT 225kV N0 1 CHAMPAGNIER-SERRE-PONCON,17T000000021406K,RTE,CHAMPAGNIER,SERRE-PONCON,220,734.00,856.00,856.00,964.00,,,,,,5.92,39.82,300.00,98.64,
LIT 225kV N0 2 CHAMPAGNIER - EYBENS,17T000000021409E,RTE,CHAMPAGNIER,EYBENS,220,1014.00,1014.00,1178.00,1191.00,,,,,,0.52,3.37,24.45,8.57,
